model	metric	score	adjusted_score	Intercept	space_size_log	gini_user	gini_item	average_degree_user_log	average_degree_item_log	average_clustering_coef_dot_user_log	average_clustering_coef_dot_item_log	degree_assort_user	degree_assort_item	p_Intercept	p_space_size_log	p_gini_user	p_gini_item	p_average_degree_user_log	p_average_degree_item_log	p_average_clustering_coef_dot_user_log	p_average_clustering_coef_dot_item_log	p_degree_assort_user	p_degree_assort_item
ALS	ndcg	0.463289442693521	0.4341906775383505	0.06558693181818183	0.30744367860142496	-0.08740859475658094	-0.03608776837443267	0.14913356237110392	-0.017208407333231035	0.15606903862408805	0.006876417231373194	-0.14711620283612764	0.0007561949788629247	0.0	0.00010347123766207136	0.10292632092705947	0.6577285586812676	8.682435349695036e-05	0.8125686458135923	1.6208615972313726e-21	0.8650405662025763	1.4934245085500877e-07	0.7797094186282107
AsymUserKNN	ndcg	0.44014537135570175	0.4097918071520952	0.06057727272727273	0.26737510473017967	-0.07387181276205732	-0.057769363428269216	0.11788837221632037	-0.02128723853733494	0.15344834094975687	0.005882863525931259	-0.17130826204262498	-0.0008438766495963744	0.0	0.00094574579679088	0.14415332275554313	0.5172210251045974	0.002448182657958269	0.7817169518647982	1.3125649353002846e-16	0.8865317029186118	9.48966044884258e-09	0.7548870583006556
UltraGCN	ndcg	0.4158271264882131	0.3841551032255258	0.06183352272727274	0.27870063575224435	-0.138489253593834	0.00980101176150977	0.14993956381200801	-0.08110154619663174	0.17437561258380982	-0.016487736816786253	-0.17740252121051717	0.0015355485928965906	0.0	0.01072098976105745	0.012026141647175139	0.9176063952932664	0.003180307209561644	0.36366108191751156	1.6795223002344582e-22	0.7207144566695118	2.5315291149486644e-07	0.7145572064743553
XSimGCL	ndcg	0.4906092948541565	0.4629917265028758	0.061724431818181824	0.2952626944046862	-0.0930487207311349	-0.11340382783393876	0.1178767643041573	0.018687558359591794	0.1590297106906434	0.015059907392967531	-0.16715259295386684	0.0006470057877327193	0.0	7.15788066533925e-05	0.052118246503434947	0.14999179014429	0.0007967422174058863	0.7818367132758295	2.1298757721825914e-26	0.6875307601984089	2.1828249448854773e-10	0.8034053756926325
ALS	itemcoverage	0.7941484865835027	0.7829878623621263	0.08944715909090907	-0.0038252472986335384	-0.1826346999203087	-0.05832420262956506	0.06519948716894242	0.16012297799976338	-0.041646886266118524	-0.008392811444467796	0.0029975152782276693	0.00042926981496346946	0.0	0.9453060883172436	2.3539679333570437e-07	0.30882710330082486	0.01142828991606793	0.0011703494055444032	2.0920342634515263e-05	0.7533966454472878	0.8683793923216028	0.7905919415553081
AsymUserKNN	itemcoverage	0.6976359704327485	0.6812427399140422	0.10535909090909089	0.1987032831882407	-0.0981382082469735	-0.01806129569925563	-0.014869029610612483	0.07344980784649602	-0.12096179073007278	-0.06796752600088896	0.12531877214214016	9.803655392243496e-05	0.0	0.037989216685784984	0.08712593189996948	0.8359652217385971	0.735381122501884	0.39793535175521877	1.97473916720635e-15	0.1259240551682899	1.8275784270024588e-05	0.9724824361592531
UltraGCN	itemcoverage	0.3062034095127073	0.26858793171520345	0.06840340909090911	-0.14673793007524683	-0.26276077442055656	0.3691759489761456	-0.009660570926057266	-0.4245520285879236	-0.05159998274832006	-0.29322245920771384	-0.08187741904785945	0.0045206491628705615	0.0	0.5178754745560494	0.02846082977643638	0.06194917404379956	0.9295543239611683	0.02100793579813978	0.16958042532815698	0.000787534652148815	0.25156132544041454	0.6148452243332465
XSimGCL	itemcoverage	0.4183882232013415	0.38685505457972746	0.09800681818181817	-0.11113013564446184	-0.13053514516557008	0.1343229622400584	0.0437533580778921	0.2223924480810343	-0.09095998719739982	-0.02765630639829511	0.10463098054525921	-0.0017049592554747237	0.0	0.5436354579130345	0.3716303766311685	0.5429394115268051	0.6713911627867651	0.2507325198683815	0.00695564755223516	0.7890334682891083	0.09323976281857849	0.7870399016480584
ALS	averagepopularity	0.9007827337999811	0.8954034844276909	71.04693011363636	-178.481373649121	-2.849113166036908	15.947971653768718	-47.09891235229003	129.29113055408993	114.00236665478516	21.672138671461042	64.5740477754793	-0.48005444165237243	0.0	0.008316599070364552	0.941848694901314	0.7716124057059499	0.08787692003419052	0.015568212306372326	1.300874768988569e-10	0.4305697021068655	0.018975099441642763	0.7904033369210607
AsymUserKNN	averagepopularity	0.8679120230040722	0.8607506266609195	96.25463124999999	-486.0685060041633	25.787527405846056	-9.450398363596491	-139.827125998559	266.7250410851889	189.26851928684005	59.19425078474211	129.84330581692356	1.8433192172786796	0.0	0.00014199918165453765	0.7360031104426938	0.9354730190656414	0.01019496509772497	0.016018299660749205	1.431120465581051e-09	0.3056579731212238	0.014693554488965416	0.6146302077308812
UltraGCN	averagepopularity	0.42292117832157805	0.39163377232696484	96.39547443181822	-177.4604442202483	187.11377535927312	-198.31484082062428	-136.38837603938362	492.2401058073726	123.01376446113798	199.75072163210731	209.39673224318682	-7.853708535049897	0.0	0.570550164827412	0.19529420875508974	0.36949733229756854	0.2992833055952361	0.03192870212427449	0.005119075582058046	0.03493521702861258	0.024325877371000896	0.5403421987640777
XSimGCL	averagepopularity	0.6382806237340275	0.6186693322497278	71.38748011363637	-167.51222926442279	-4.190906637219754	-0.6896945011662865	-73.39550717041148	106.58894563119259	133.7550109983922	36.90585507115384	28.753216874199126	0.7392414821085476	0.0	0.18574971120904726	0.9649206491519151	0.9962939074730814	0.24743106475200127	0.39470948131913075	3.391707303726411e-09	0.5777376807644726	0.5448539251226348	0.8555090386159194
